"","ASPC","Preadipocyte","Adipocyte"
"RP11-34P13.7",0.00175932441942294,0.003870343492985,0.00343878954607978
"AP006222.2",0.247185080928928,0.238993710691823,0.264786795048143
"RP11-206L10.3",0.00263898662913441,0.00483792936623125,0.0116918844566713
"RP11-206L10.2",0.002990851513019,0,0
"RP11-206L10.9",0.00844475721323013,0.0145137880986938,0.0364511691884457
"FAM87B",0.00457424349049965,0.0058055152394775,0.00206327372764787
"LINC00115",0.00791695988740324,0.0169327527818094,0.0144429160935351
"FAM41C",0.0191766361717101,0.0338655055636188,0.0818431911966986
"RP11-54O7.1",0.00862068965517242,0.00483792936623125,0.00894085281980743
"RP11-54O7.3",0.0545390570021111,0.00919206579583938,0.0137551581843191
"SAMD11",0.126143560872624,0.0101596516690856,0.00550206327372765
"NOC2L",0.24120337790289,0.248669569424285,0.398899587345252
"KLHL17",0.0281491907107671,0.027092404450895,0.0460797799174691
"PLEKHN1",0.0313159746657284,0.00483792936623125,0.0103163686382393
"C1orf170",0.00105559465165376,0.00677310111272376,0.00962861072902338
"RP11-54O7.17",0.00492610837438424,0,0
"HES4",0.148135116115412,0.133526850507982,0.0694635488308115
"ISG15",0.349929627023232,0.528301886792462,0.246217331499313
"AGRN",0.266537649542581,0.222544750846637,0.269601100412655
"C1orf159",0.0446868402533426,0.0653120464441218,0.0955983493810176
"SDF4",0.999999999999982,1.10159651669087,0.920907840440155
"B3GALT6",0.315974665728369,0.227866473149491,0.438789546079777
"FAM132A",0.0174173117522871,0.027092404450895,0.0502063273727648
"RP5-902P8.12",0.000879662209711471,0,0
"UBE2J2",0.338494018296983,0.354136429608131,0.34662998624484
"RP5-902P8.10",0.000879662209711471,0,0
"SCNN1D",0.00650950035186489,0.0120948234155781,0.015130674002751
"ACAP3",0.182090077410277,0.247218190614416,0.306740027510316
"PUSL1",0.19686840253343,0.197871311078858,0.238651994497937
"CPSF3L",0.152181562280085,0.314465408805033,0.339752407152681
"GLTPD1",0.139514426460239,0.133043057571359,0.222145804676754
"DVL1",0.252463054187197,0.182389937106918,0.273727647867951
"MXRA8",1.78114004222377,1.65215287856797,1.11072902338376
"AURKAIP1",2.32512315270938,2.03386550556362,3.42228335625854
"CCNL2",0.280436312456023,0.371069182389941,0.466987620357631
"RP4-758J18.2",0.114004222378606,0.156748911465892,0.156121045392022
"MRPL20",1.36769880365938,1.14368650217708,1.93466299862446
"RP4-758J18.13",0.002990851513019,0.00725689404934688,0.0233837689133425
"ANKRD65",0.00527797325826883,0.0227382680212869,0.0233837689133425
"VWA1",0.0300844475721324,0.0590227382680212,0.0584594222833563
"ATAD3C",0.00580577058409571,0.0169327527818094,0.0240715268225585
"ATAD3B",0.0606966924700913,0.0624092888243831,0.215955983493811
"ATAD3A",0.164848698099931,0.133526850507982,0.336313617606601
"SSU72",1.72853624208302,1.6255442670537,1.60110041265472
"AL645728.1",0.00950035186488389,0.0164489598451863,0.0233837689133425
"C1orf233",0.0434553131597466,0.0261248185776488,0.0240715268225585
"RP11-345P4.9",0.0260380014074596,0.0454765360425737,0.0674002751031637
"MIB2",0.206016889514429,0.202225447508466,0.145116918844566
"MMP23B",0.451266713581996,0.330914368650219,0.0281980742778542
"CDK11B",0.135116115411682,0.0996613449443635,0.111416781292984
"RP11-345P4.10",0.00439831104855735,0.0058055152394775,0.0171939477303989
"SLC35E2B",0.200387051372276,0.391388485728113,0.271664374140303
"CDK11A",0.105559465165376,0.0590227382680212,0.0639614855570839
"SLC35E2",0.0105559465165377,0.0149975810353169,0.00894085281980743
"NADK",0.206720619282198,0.377842283502665,0.624484181568082
"GNB1",1.62209711470794,0.955491049830693,1.33562585969737
"RP1-140A9.1",0.00193525686136524,0.0019351717464925,0.00756533700137551
