"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,5.77523197622728,0.95,0.032,0,"ASPC","hg19-GREM1"
"2",0,5.77346139444604,0.776,0.032,0,"ASPC","hg19-KIAA1199"
"3",3.69606289007435e-294,7.20113846330307,0.316,0.002,6.28848140117249e-290,"ASPC","hg19-NR4A1"
"4",1.55320074537397e-282,5.78381930962105,0.32,0.01,2.64261574817928e-278,"ASPC","hg19-KIAA0101"
"5",1.73505727607739e-245,5.65662622527909,0.282,0.008,2.95202644951806e-241,"ASPC","hg19-IL6"
"6",2.1728308823322e-220,5.66946560650767,0.257,0.007,3.69685446320001e-216,"ASPC","hg19-CXCL2"
"7",7.65043438754447e-207,6.03631845010516,0.241,0.005,1.30164490669682e-202,"ASPC","hg19-GPRC5A"
"8",3.37380362440348e-171,6.56394982031651,0.202,0.003,5.74018948656008e-167,"ASPC","hg19-CXCL3"
"9",3.05149568820591e-130,5.78379861914683,0.157,0.002,5.19181476391353e-126,"ASPC","hg19-KRTAP1-5"
"10",3.37026508292402e-123,5.9558173709282,0.15,0.002,5.73416901208693e-119,"ASPC","hg19-PTGIR"
"11",2.51347206521463e-100,8.72903885046824,0.12,0,4.27642137175617e-96,"ASPC","hg19-MKI67"
"12",5.61910965914694e-98,5.75114913059621,0.128,0.005,9.5603531740726e-94,"ASPC","hg19-UBE2C"
"13",7.29892593897895e-91,8.17944339220376,0.109,0,1.24183925925788e-86,"ASPC","hg19-RRM2"
"14",2.15930537228874e-62,6.32588696030691,0.077,0.001,3.67384216041206e-58,"ASPC","hg19-RP11-758N13.1"
"15",1.09843874836342e-44,6.07284432613027,0.055,0.001,1.86888368646552e-40,"ASPC","hg19-KIRREL3"
"16",4.63167985661722e-38,7.77668422270335,0.046,0,7.88034010804854e-34,"ASPC","hg19-IQGAP3"
"17",4.70918403538047e-36,6.65337458053617,0.044,0,8.01220571779634e-32,"ASPC","hg19-DEPDC1"
"18",3.25943157255911e-32,7.17326481727463,0.039,0,5.54559687755207e-28,"ASPC","hg19-SH2D5"
"19",1.19693183306504e-29,5.70139609539911,0.037,0.001,2.03645982077686e-25,"ASPC","hg19-THBD"
